t,Bandit,Reward,Regret,TrueMean,Algorithm
476,3,2.1611609960878932,0,4,ThompsonSampling
477,3,2.6991390614079123,0,4,ThompsonSampling
478,3,4.5107296593057535,0,4,ThompsonSampling
479,3,4.653805027537887,0,4,ThompsonSampling
480,3,4.434692264199882,0,4,ThompsonSampling
481,3,2.2391778420732535,0,4,ThompsonSampling
482,3,3.336568007227967,0,4,ThompsonSampling
483,3,3.4459980391634617,0,4,ThompsonSampling
484,3,4.4860911403267645,0,4,ThompsonSampling
485,3,3.452487022371747,0,4,ThompsonSampling
486,3,4.829093593528427,0,4,ThompsonSampling
487,3,5.911236217890636,0,4,ThompsonSampling
488,3,4.133797870404364,0,4,ThompsonSampling
489,3,4.341199415667995,0,4,ThompsonSampling
490,3,3.273348126019795,0,4,ThompsonSampling
491,3,4.844380442309247,0,4,ThompsonSampling
492,3,2.1130538058411736,0,4,ThompsonSampling
493,3,4.830703551530741,0,4,ThompsonSampling
494,3,3.677349592742404,0,4,ThompsonSampling
495,3,5.38678737229907,0,4,ThompsonSampling
496,3,1.3881050090348457,0,4,ThompsonSampling
497,3,3.662970021953324,0,4,ThompsonSampling
498,3,5.694827220252941,0,4,ThompsonSampling
499,3,5.665458054706842,0,4,ThompsonSampling
500,3,6.890803736837011,0,4,ThompsonSampling
501,3,3.578862387557884,0,4,ThompsonSampling
502,3,3.5776945842982877,0,4,ThompsonSampling
503,3,4.397514333066001,0,4,ThompsonSampling
504,3,5.264045806886212,0,4,ThompsonSampling
505,3,3.409057148292349,0,4,ThompsonSampling
506,3,4.064878766795977,0,4,ThompsonSampling
507,3,3.173528525078249,0,4,ThompsonSampling
508,3,2.7295740411021843,0,4,ThompsonSampling
509,3,4.846133751306128,0,4,ThompsonSampling
510,3,4.758884025955443,0,4,ThompsonSampling
511,3,4.79738813897261,0,4,ThompsonSampling
512,3,2.891755874812918,0,4,ThompsonSampling
513,3,4.27765054589564,0,4,ThompsonSampling
514,3,2.1069881167762903,0,4,ThompsonSampling
515,3,3.799756527729394,0,4,ThompsonSampling
516,3,1.9760680523985017,0,4,ThompsonSampling
517,3,3.308331341852082,0,4,ThompsonSampling
518,1,2.5995590443002103,2,2,ThompsonSampling
519,3,2.500370726635018,0,4,ThompsonSampling
520,3,4.342337251896942,0,4,ThompsonSampling
521,3,4.354917689890906,0,4,ThompsonSampling
522,3,4.0480489370955555,0,4,ThompsonSampling
523,3,3.068360341129309,0,4,ThompsonSampling
524,3,5.253187248196457,0,4,ThompsonSampling
525,3,3.3303801933677355,0,4,ThompsonSampling
526,3,3.226808347596457,0,4,ThompsonSampling
527,3,3.6560473108330283,0,4,ThompsonSampling
528,3,6.161114884436417,0,4,ThompsonSampling
529,3,3.22341332653455,0,4,ThompsonSampling
530,3,2.8161787097613873,0,4,ThompsonSampling
531,3,3.586438162428628,0,4,ThompsonSampling
532,3,4.682973532241972,0,4,ThompsonSampling
533,3,3.5487084836993557,0,4,ThompsonSampling
534,3,5.557705422736499,0,4,ThompsonSampling
535,3,5.126616505338214,0,4,ThompsonSampling
536,3,5.687385417911784,0,4,ThompsonSampling
537,3,4.268179358286066,0,4,ThompsonSampling
538,3,3.768406464355847,0,4,ThompsonSampling
539,3,2.712351316266802,0,4,ThompsonSampling
540,3,4.9170873035308595,0,4,ThompsonSampling
541,3,4.336224762835695,0,4,ThompsonSampling
542,3,2.3043400958575244,0,4,ThompsonSampling
543,3,4.815620307724083,0,4,ThompsonSampling
544,3,3.767791543303913,0,4,ThompsonSampling
545,3,6.558744189085973,0,4,ThompsonSampling
546,3,3.338771884160022,0,4,ThompsonSampling
